Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,P2PActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
52.961987,0.53697646,52.07841720165656,-1.011058989937779,0,1,6406.021,-0.49824372,4,1,false,false,false,-14.755728,2.798654,8.945292,1.3377335,-0.2574677,3
53.002327,0.5371255,52.07841073113537,-1.0110514061838987,0,1,6413.8374,-0.49621385,4,1,false,false,false,-15.022504,2.8220098,8.912746,1.3332553,-0.27883384,3
53.043846,0.5372748,52.07840426006564,-1.0110439688534352,0,1,6411.9697,-0.48287332,4,1,false,false,false,-14.951,2.9529896,9.150453,1.3285083,-0.28963193,3
53.085804,0.53742427,52.07839769958467,-1.0110365310779155,0,1,6403.643,-0.46431112,4,1,false,false,false,-15.202011,2.934023,9.461697,1.3236712,-0.28946817,3
53.12595,0.53757393,52.07839122851494,-1.0110292392807572,0,1,6401.422,-0.44777894,4,1,false,false,false,-15.380592,2.7522237,9.08674,1.3188792,-0.28456,3
53.163643,0.53772366,52.07838466803397,-1.0110219474835989,0,1,6415.0044,-0.43443832,4,1,false,false,false,-15.617849,2.7110164,9.491486,1.3141214,-0.28784698,3
53.201965,0.5378735,52.078378107553,-1.0110146556864403,0,1,6429.478,-0.4283466,4,1,false,false,false,-15.468377,2.7795126,9.276395,1.3092546,-0.29610944,3
53.24111,0.5380235,52.07837145711226,-1.011007363889282,0,1,6432.748,-0.42660725,4,1,false,false,false,-15.506924,2.8319116,9.226909,1.3042827,-0.3005298,3
53.282013,0.5381735,52.078364806122984,-1.0110002180704847,0,1,6431.9746,-0.42834654,4,1,false,false,false,-16.011267,2.8779948,9.88339,1.2992587,-0.300603,3
53.320885,0.53832364,52.07835815568224,-1.0109930718066313,0,1,6427.9663,-0.43385726,4,1,false,false,false,-16.193872,2.6998796,9.54455,1.2942553,-0.30003306,3
53.35888,0.5384739,52.0783515052415,-1.010985925987834,0,1,6438.9,-0.44052872,4,1,false,false,false,-15.978253,2.7675936,9.42168,1.2892315,-0.3020852,3
53.397205,0.5386242,52.078344764840985,-1.0109789257023418,0,1,6448.094,-0.44719908,4,1,false,false,false,-16.382414,2.7646651,9.941845,1.2841927,-0.30426413,3
53.43513,0.53877467,52.07833802444047,-1.0109719258619054,0,1,6449.049,-0.4527098,4,1,false,false,false,-16.761679,2.7558923,10.160466,1.2790736,-0.31067553,3
53.472626,0.5389252,52.07833128403996,-1.0109649255764133,0,1,6451.8223,-0.4558992,4,1,false,false,false,-16.63025,2.7214873,9.734904,1.273837,-0.31857723,3
53.510525,0.53907585,52.07832445367967,-1.010958071269282,0,1,6459.7095,-0.45415995,4,1,false,false,false,-16.820236,2.79561,9.902016,1.2684808,-0.3225153,3
53.548912,0.5392266,52.078317623319386,-1.010951216962151,0,1,6458.537,-0.4474896,4,1,false,false,false,-16.904234,2.7706432,9.907878,1.2631572,-0.31516355,3
53.586487,0.5393774,52.07831079350763,-1.0109445086333808,0,1,6457.791,-0.4376287,4,1,false,false,false,-16.410433,2.7051044,9.514524,1.2579976,-0.30297437,3
53.622654,0.5395283,52.07830387318758,-1.0109378003046108,0,1,6469.496,-0.4257369,4,1,false,false,false,-16.662245,2.6209075,9.498464,1.2530048,-0.29712942,3
53.658436,0.5396794,52.07829704282729,-1.0109310915307848,0,1,6483,-0.41355583,4,1,false,false,false,-16.437283,2.6309114,9.800087,1.2480104,-0.30302852,3
53.694565,0.53983045,52.078290122507234,-1.0109243832020147,0,1,6492.9927,-0.39847472,4,1,false,false,false,-15.952339,2.6893518,9.360493,1.2428619,-0.31535056,3
53.732887,0.53998166,52.078283112775935,-1.0109178204065499,0,1,6501.5376,-0.3787532,4,1,false,false,false,-16.09722,2.8929994,9.530648,1.2375582,-0.3187805,3
53.773003,0.54013306,52.078276192455874,-1.0109112580561408,0,1,6492.484,-0.36222088,4,1,false,false,false,-16.135508,2.854741,9.547859,1.2322936,-0.31156102,3
53.810863,0.54028445,52.07826918272458,-1.010904841239037,0,1,6487.5117,-0.34569073,4,1,false,false,false,-16.305712,2.6950955,9.938572,1.2271831,-0.3033955,3
53.84745,0.540436,52.07826217244475,-1.010898424421933,0,1,6503.0225,-0.33321923,4,1,false,false,false,-16.379616,2.7349725,9.5964775,1.2221189,-0.30497324,3
53.884655,0.54058766,52.078255072753684,-1.0108920076048291,0,1,6512.296,-0.32161906,4,1,false,false,false,-15.698902,2.739044,8.919093,1.2170839,-0.2986638,3
53.923874,0.5407394,52.07824806247385,-1.0108857367660864,0,1,6513.6846,-0.3117582,4,1,false,false,false,-16.48546,2.9246867,10.765381,1.2121806,-0.2914069,3
